인덱스,발화,장소,난이도
16707,혹시 조금 움직여볼까 진짜 ㅠㅠ,kitchen,ambiguous
16708,지금 TV 있는 데로 이동해 왠지 싶네,living room,direct
16709,음 TV 보고 싶다 왠지 싶네,living room,indirect
16710,아 느긋하게 있고 싶어 왠지 싶네,living room,ambiguous
16711,오늘 침대 앞으로 가 왠지 ㅠㅠ,bedroom,direct
16712,오늘 침대 생각난다 왠지 같은데,bedroom,indirect
16713,혹시 조용한 데 가고 싶다 약간 같은데,bedroom,ambiguous
16714,오늘 운동하는 곳으로 가줘 약간,exercise,direct
16715,좀 운동 안 한 지 오래됐다 진짜 좀,exercise,indirect
16716,음 답답해서 움직이고 싶다 조금 ㅠㅠ,exercise,ambiguous
16717,혹시 냉장고 앞으로 가 ㅠㅠ,kitchen,direct
16718,지금 목이 좀 마른데 왠지!,kitchen,indirect
16719,혹시 괜히 돌아다니고 싶다 약간.,kitchen,ambiguous
16720,오늘 소파 있는 곳으로 가 약간 좀,living room,direct
16721,음 가만히 앉아 있고 싶다 해야겠다,living room,indirect
16722,오늘 조용히 있고 싶네 약간 싶네,living room,ambiguous
16723,혹시 침실로 가줘 조금,bedroom,direct
16724,음 몸이 너무 피곤하다!,bedroom,indirect
16725,음 생각 정리 좀 하고 싶네 진짜,bedroom,ambiguous
16726,음 헬스하는 데로 가 약간 같은데,exercise,direct
16727,운동해야 하는데 약간.,exercise,indirect
16728,지금 가만히 있기 싫다!,exercise,ambiguous
16729,지금 주방으로 가줘 왠지,kitchen,direct
16730,음 커피 한잔 하고 싶다 약간 같은데,kitchen,indirect
16731,지금 조금 움직여볼까 조금.,kitchen,ambiguous
16732,갑자기 편하게 앉을 곳으로 가줘 좀,living room,direct
16733,아 편하게 기대고 싶어 조금 해야겠다,living room,indirect
16734,음 기분 전환이 필요하다 약간 ㅠㅠ,living room,ambiguous
16735,아 침대 앞으로 가 약간,bedroom,direct
16736,좀 쉬면서 자고 싶어 진짜 해야겠다,bedroom,indirect
16737,좀 오늘은 쉬어야겠다 약간 싶네,bedroom,ambiguous
16738,음 트레이닝 공간으로 가 왠지 해야겠다,exercise,direct
16739,지금 운동해야 하는데 약간 좀,exercise,indirect
16740,갑자기 답답해서 움직이고 싶다 조금 싶네,exercise,ambiguous
16741,오늘 주방으로 데려다줘 진짜 같은데,kitchen,direct
16742,음 물 마시고 싶다 조금 해야겠다,kitchen,indirect
16743,혹시 가볍게 뭐라도 하고 싶다 왠지.,kitchen,ambiguous
16744,갑자기 거실로 가줘 왠지 같은데,living room,direct
16745,아 휴식이 필요해 왠지!,living room,indirect
16746,갑자기 한숨 돌리고 싶다 진짜 ㅠㅠ,living room,ambiguous
16747,갑자기 침대 있는 방으로 이동해 조금 같은데,bedroom,direct
16748,갑자기 잠깐 낮잠 자고 싶다 해야겠다,bedroom,indirect
16749,혹시 조용한 분위기가 좋다 조금 해야겠다,bedroom,ambiguous
16750,음 트레이닝 공간으로 가 약간!,exercise,direct
16751,갑자기 몸 좀 움직이고 싶다 약간 해야겠다,exercise,indirect
16752,혹시 활력이 필요하다 조금 좀,exercise,ambiguous
16753,좀 부엌에 가고 싶어 왠지.,kitchen,direct
16754,좀 간식 먹고 싶다 조금 좀,kitchen,indirect
16755,좀 손 가는 걸 해보고 싶다 약간 좀,kitchen,ambiguous
16756,지금 TV 앞에 가고 싶어,living room,direct
16757,좀 편하게 기대고 싶어 진짜 좀,living room,indirect
16758,갑자기 기분 전환이 필요하다 진짜 같은데,living room,ambiguous
16759,아 침실로 데려다줘.,bedroom,direct
16760,침대 생각난다 약간 같은데,bedroom,indirect
16761,가만히 있고 싶다 진짜,bedroom,ambiguous
16762,아 운동 장소로 이동하자 조금 같은데,exercise,direct
16763,갑자기 땀 좀 흘리고 싶다 조금 같은데,exercise,indirect
16764,지금 활력이 필요하다,exercise,ambiguous
16765,갑자기 주방으로 가줘 왠지 해야겠다,kitchen,direct
16766,아 간단하게 요기하고 싶어 조금 싶네,kitchen,indirect
16767,지금 오늘 뭔가 만들어볼까 조금 해야겠다,kitchen,ambiguous
16768,지금 소파 앞으로 가 약간 같은데,living room,direct
16769,혹시 편하게 기대고 싶어 좀,living room,indirect
16770,갑자기 오늘 너무 피곤하다 진짜 ㅠㅠ,living room,ambiguous
16771,혹시 방으로 가고 싶어 ㅠㅠ,bedroom,direct
16772,오늘 너무 졸리다 약간 같은데,bedroom,indirect
16773,지금 조용한 분위기가 좋다 왠지.,bedroom,ambiguous
16774,아 트레이닝 공간으로 가 왠지.,exercise,direct
16775,오늘 운동 안 한 지 오래됐다 싶네,exercise,indirect
16776,혹시 몸이 무거운 느낌이다 진짜.,exercise,ambiguous
16777,부엌으로 이동해 조금!,kitchen,direct
16778,컵라면이라도 먹을까 조금 좀,kitchen,indirect
16779,좀 손 가는 걸 해보고 싶다 조금 해야겠다,kitchen,ambiguous
16780,지금 거실로 안내해 진짜 싶네,living room,direct
16781,지금 소파에 눕고 싶다 왠지 싶네,living room,indirect
16782,지금 오늘 너무 피곤하다 진짜 ㅠㅠ,living room,ambiguous
16783,지금 침대 있는 방으로 이동해 조금 좀,bedroom,direct
16784,아 오늘은 일찍 자야겠다 조금 좀,bedroom,indirect
16785,혹시 조용한 분위기가 좋다 왠지 해야겠다,bedroom,ambiguous
16786,음 운동 공간으로 이동해 조금 싶네,exercise,direct
16787,몸이 찌뿌둥하다 약간 ㅠㅠ,exercise,indirect
16788,오늘 에너지가 부족한 느낌이야 조금 싶네,exercise,ambiguous
16789,지금 주방으로 데려다줘 약간,kitchen,direct
16790,갑자기 목이 좀 마른데 왠지 싶네,kitchen,indirect
16791,혹시 기분 전환 좀 할까 약간 해야겠다,kitchen,ambiguous
16792,음 쉬는 공간으로 이동하자 왠지 싶네,living room,direct
16793,음 오늘은 아무 생각 하기 싫다.,living room,indirect
16794,아 느긋하게 있고 싶어.,living room,ambiguous
16795,방으로 가고 싶어 진짜 해야겠다,bedroom,direct
16796,눈이 감긴다 진짜,bedroom,indirect
16797,혹시 오늘은 아무것도 하기 싫다 ㅠㅠ,bedroom,ambiguous
16798,음 몸 움직일 곳으로 가줘 진짜 좀,exercise,direct
16799,음 활동적으로 움직이고 싶다 해야겠다,exercise,indirect
16800,좀 조금 활동하고 싶네.,exercise,ambiguous
16801,음 부엌으로 이동해 약간 같은데,kitchen,direct
16802,오늘 물 마시고 싶다 같은데,kitchen,indirect
16803,아 오늘은 직접 해볼까 약간 ㅠㅠ,kitchen,ambiguous
16804,지금 편하게 앉을 곳으로 가줘.,living room,direct
16805,혹시 좀 쉬고 싶네 약간 같은데,living room,indirect
16806,갑자기 아무것도 안 하고 싶다 ㅠㅠ,living room,ambiguous
16807,혹시 잠잘 곳으로 안내해 조금 ㅠㅠ,bedroom,direct
16808,음 잠 좀 자고 싶네 조금 해야겠다,bedroom,indirect
16809,오늘 가만히 있고 싶다 왠지.,bedroom,ambiguous
16810,아 운동방으로 안내해 왠지!,exercise,direct
16811,혹시 가볍게 뛰고 싶네 약간 해야겠다,exercise,indirect
16812,혹시 리프레시하고 싶네 진짜!,exercise,ambiguous
16813,오늘 주방으로 가줘 해야겠다,kitchen,direct
16814,지금 뭔가 만들어 먹고 싶네 진짜 해야겠다,kitchen,indirect
16815,음 기분 전환 좀 할까 약간 해야겠다,kitchen,ambiguous
16816,지금 거실로 데려다줘 조금!,living room,direct
16817,좀 가만히 앉아 있고 싶다 왠지 좀,living room,indirect
16818,아 느긋하게 있고 싶어 진짜 해야겠다,living room,ambiguous
16819,아 침실로 가줘 싶네,bedroom,direct
16820,혹시 침대 생각난다 왠지 ㅠㅠ,bedroom,indirect
16821,갑자기 조용한 분위기가 좋다 좀,bedroom,ambiguous
16822,아 헬스하는 데로 가 약간!,exercise,direct
16823,좀 땀 좀 흘리고 싶다 조금 싶네,exercise,indirect
16824,갑자기 에너지가 부족한 느낌이야 약간 좀,exercise,ambiguous
16825,갑자기 부엌 쪽으로 이동하자 진짜!,kitchen,direct
16826,아 간단하게 요기하고 싶어 왠지 좀,kitchen,indirect
16827,지금 조금 움직여볼까 싶네,kitchen,ambiguous
16828,아 TV 앞에 가고 싶어.,living room,direct
16829,아 잠깐 멍 때리고 싶네 약간!,living room,indirect
16830,아 오늘은 늘어지고 싶다 약간,living room,ambiguous
16831,침실로 데려다줘 진짜 해야겠다,bedroom,direct
16832,혹시 침대 생각난다 싶네,bedroom,indirect
16833,지금 방해받기 싫다 ㅠㅠ,bedroom,ambiguous
16834,지금 스트레칭할 공간으로 가고 싶어 진짜!,exercise,direct
16835,음 스트레칭하고 싶다,exercise,indirect
16836,음 몸이 무거운 느낌이다 약간 해야겠다,exercise,ambiguous
16837,아 주방 쪽으로 안내해 약간 싶네,kitchen,direct
16838,갑자기 뭐 먹을 거 없나 왠지 ㅠㅠ,kitchen,indirect
16839,혹시 손 가는 걸 해보고 싶다 진짜 같은데,kitchen,ambiguous
16840,지금 거실로 가줘 싶네,living room,direct
16841,편하게 기대고 싶어 왠지.,living room,indirect
16842,지금 편한 데 가고 싶어 해야겠다,living room,ambiguous
16843,좀 방으로 가고 싶어 진짜,bedroom,direct
16844,아 잠 좀 자고 싶네 왠지.,bedroom,indirect
16845,좀 방해받기 싫다 왠지 좀,bedroom,ambiguous
16846,좀 운동 공간으로 이동해 왠지.,exercise,direct
16847,오늘 운동해야 하는데 조금 좀,exercise,indirect
16848,지금 리프레시하고 싶네 약간 좀,exercise,ambiguous
16849,오늘 부엌으로 이동해 조금 같은데,kitchen,direct
16850,음 냉장고 확인하고 싶다 조금 좀,kitchen,indirect
16851,뭔가 찾고 싶네 진짜!,kitchen,ambiguous
16852,혹시 거실 쪽으로 가자 조금 해야겠다,living room,direct
16853,음 좀 쉬고 싶네 약간 ㅠㅠ,living room,indirect
16854,혹시 한숨 돌리고 싶다 약간!,living room,ambiguous
16855,침실로 데려다줘 좀,bedroom,direct
16856,혹시 눈이 감긴다 조금 같은데,bedroom,indirect
16857,지금 방해받기 싫다 같은데,bedroom,ambiguous
16858,혹시 헬스하는 데로 가 조금 싶네,exercise,direct
16859,갑자기 땀 좀 흘리고 싶다 왠지 같은데,exercise,indirect
16860,혹시 조금 활동하고 싶네 왠지 싶네,exercise,ambiguous
16861,음 주방 쪽으로 안내해 진짜 좀,kitchen,direct
16862,오늘 뭐 먹을 거 없나 조금.,kitchen,indirect
16863,혹시 뭔가 하고 싶네 약간 같은데,kitchen,ambiguous
16864,아 거실 쪽으로 가자 진짜 같은데,living room,direct
16865,TV 보고 싶다 진짜!,living room,indirect
16866,혹시 느긋하게 있고 싶어 약간 같은데,living room,ambiguous
16867,좀 잠잘 곳으로 안내해 약간 해야겠다,bedroom,direct
16868,오늘 눈이 감긴다 진짜!,bedroom,indirect
16869,아 잠잠한 곳이 좋네 약간 싶네,bedroom,ambiguous
16870,좀 몸 움직일 곳으로 가줘 진짜.,exercise,direct
16871,너무 오래 앉아 있었네 약간 싶네,exercise,indirect
16872,오늘 활력이 필요하다 약간 해야겠다,exercise,ambiguous
16873,요리하는 공간으로 가줘 왠지 싶네,kitchen,direct
16874,지금 커피 한잔 하고 싶다 조금,kitchen,indirect
16875,아 손 가는 걸 해보고 싶다 왠지!,kitchen,ambiguous
16876,좀 거실로 안내해 약간 같은데,living room,direct
16877,잠깐 멍 때리고 싶네 진짜,living room,indirect
16878,음 조용히 있고 싶네 진짜 싶네,living room,ambiguous
16879,내 방으로 이동해 약간 ㅠㅠ,bedroom,direct
16880,오늘 잠 좀 자고 싶네 약간!,bedroom,indirect
16881,혹시 조용한 데 가고 싶다 조금 좀,bedroom,ambiguous
16882,갑자기 트레이닝 공간으로 가 ㅠㅠ,exercise,direct
16883,지금 몸이 찌뿌둥하다 진짜 ㅠㅠ,exercise,indirect
16884,좀 조금 활동하고 싶네 왠지.,exercise,ambiguous
16885,혹시 부엌에 가고 싶어 진짜,kitchen,direct
16886,물 마시고 싶다 약간 싶네,kitchen,indirect
16887,갑자기 뭔가 하고 싶네 조금 싶네,kitchen,ambiguous
16888,좀 거실로 데려다줘 해야겠다,living room,direct
16889,아 오늘은 아무 생각 하기 싫다 왠지!,living room,indirect
16890,혹시 아무것도 안 하고 싶다 ㅠㅠ,living room,ambiguous
16891,침대 있는 방으로 이동해,bedroom,direct
16892,음 쉬면서 자고 싶어 왠지.,bedroom,indirect
16893,갑자기 잠잠한 곳이 좋네 조금 싶네,bedroom,ambiguous
16894,오늘 운동하는 곳으로 가줘 왠지,exercise,direct
16895,오늘 몸 좀 움직이고 싶다 해야겠다,exercise,indirect
16896,갑자기 답답해서 움직이고 싶다 좀,exercise,ambiguous
16897,갑자기 요리하는 공간으로 가줘 조금.,kitchen,direct
16898,좀 목이 좀 마른데 해야겠다,kitchen,indirect
16899,좀 기분 전환 좀 할까.,kitchen,ambiguous
16900,좀 소파 앞으로 가 왠지 ㅠㅠ,living room,direct
16901,혹시 소파에 눕고 싶다 좀,living room,indirect
16902,오늘 한숨 돌리고 싶다,living room,ambiguous
16903,오늘 자는 곳으로 가 왠지 좀,bedroom,direct
16904,좀 누워 있고 싶다 진짜!,bedroom,indirect
16905,아 생각 정리 좀 하고 싶네 조금,bedroom,ambiguous
16906,운동할 수 있는 곳으로 가 진짜 해야겠다,exercise,direct
16907,지금 가볍게 뛰고 싶네 진짜 해야겠다,exercise,indirect
16908,갑자기 뭔가 역동적인 걸 하고 싶다 약간 좀,exercise,ambiguous
16909,갑자기 냉장고 있는 곳으로 가 조금.,kitchen,direct
16910,지금 배가 좀 고프네 ㅠㅠ,kitchen,indirect
16911,오늘 조금 움직여볼까 약간.,kitchen,ambiguous
16912,갑자기 거실로 가줘 좀,living room,direct
16913,아 드라마 보고 싶다 약간!,living room,indirect
16914,오늘 오늘은 늘어지고 싶다 조금 좀,living room,ambiguous
16915,오늘 조용한 방으로 가줘 같은데,bedroom,direct
16916,음 이불 덮고 싶어 같은데,bedroom,indirect
16917,오늘 가만히 있고 싶다 진짜 해야겠다,bedroom,ambiguous
16918,혹시 트레이닝 공간으로 가 왠지.,exercise,direct
16919,좀 스트레칭하고 싶다 조금 해야겠다,exercise,indirect
16920,아 에너지가 부족한 느낌이야 조금 해야겠다,exercise,ambiguous
16921,음 냉장고 있는 곳으로 가 ㅠㅠ,kitchen,direct
16922,음 목이 좀 마른데 진짜 같은데,kitchen,indirect
16923,지금 가볍게 뭐라도 하고 싶다 진짜 해야겠다,kitchen,ambiguous
16924,갑자기 쉬는 공간으로 이동하자 왠지 싶네,living room,direct
16925,오늘은 아무 생각 하기 싫다 약간!,living room,indirect
16926,좀 아무것도 안 하고 싶다 같은데,living room,ambiguous
16927,음 자는 곳으로 가 해야겠다,bedroom,direct
16928,쉬면서 자고 싶어 같은데,bedroom,indirect
16929,갑자기 조용한 분위기가 좋다 왠지 해야겠다,bedroom,ambiguous
16930,음 운동방으로 안내해 해야겠다,exercise,direct
16931,아 활동적으로 움직이고 싶다 약간,exercise,indirect
16932,아 뭔가 역동적인 걸 하고 싶다 왠지 ㅠㅠ,exercise,ambiguous
16933,아 냉장고 있는 곳으로 가 왠지 좀,kitchen,direct
16934,갑자기 뭐 먹을 거 없나 약간 같은데,kitchen,indirect
16935,오늘 간단하게 해결할 게 없나 진짜 싶네,kitchen,ambiguous
16936,거실 쪽으로 가자 약간!,living room,direct
16937,음 휴식이 필요해 진짜 같은데,living room,indirect
16938,한숨 돌리고 싶다 같은데,living room,ambiguous
16939,지금 침실로 데려다줘 좀,bedroom,direct
16940,오늘 잠 좀 자고 싶네 왠지 좀,bedroom,indirect
16941,좀 오늘은 쉬어야겠다!,bedroom,ambiguous
16942,음 몸 움직일 곳으로 가줘 조금!,exercise,direct
16943,지금 활동적으로 움직이고 싶다 약간,exercise,indirect
16944,지금 에너지가 부족한 느낌이야 왠지.,exercise,ambiguous
16945,지금 주방 쪽으로 안내해 왠지 싶네,kitchen,direct
16946,혹시 뭔가 만들어 먹고 싶네 진짜 좀,kitchen,indirect
16947,오늘은 직접 해볼까,kitchen,ambiguous
16948,갑자기 거실로 안내해,living room,direct
16949,혹시 오늘은 아무 생각 하기 싫다 진짜 ㅠㅠ,living room,indirect
16950,오늘 기분 전환이 필요하다 약간 해야겠다,living room,ambiguous
16951,오늘 잠잘 곳으로 안내해!,bedroom,direct
16952,좀 오늘은 일찍 자야겠다 조금 좀,bedroom,indirect
16953,오늘 방해받기 싫다 약간 좀,bedroom,ambiguous
16954,음 트레이닝 공간으로 가 조금!,exercise,direct
16955,오늘 몸 좀 움직이고 싶다 같은데,exercise,indirect
16956,지금 답답해서 움직이고 싶다,exercise,ambiguous
16957,아 부엌에 가고 싶어 약간!,kitchen,direct
16958,간식 먹고 싶다 왠지 해야겠다,kitchen,indirect
16959,오늘 괜히 돌아다니고 싶다!,kitchen,ambiguous
16960,갑자기 거실로 안내해 약간 싶네,living room,direct
16961,갑자기 TV 보고 싶다 약간 싶네,living room,indirect
16962,좀 조용히 있고 싶네 진짜!,living room,ambiguous
16963,지금 자는 곳으로 가 해야겠다,bedroom,direct
16964,지금 쉬면서 자고 싶어 약간 싶네,bedroom,indirect
16965,조용한 데 가고 싶다 약간!,bedroom,ambiguous
16966,혹시 몸 움직일 곳으로 가줘 약간 같은데,exercise,direct
16967,좀 운동해야 하는데 진짜,exercise,indirect
16968,갑자기 에너지가 부족한 느낌이야 진짜!,exercise,ambiguous
16969,좀 주방 쪽으로 안내해 왠지!,kitchen,direct
16970,좀 간단하게 요기하고 싶어 약간 좀,kitchen,indirect
16971,좀 조금 움직여볼까 약간 싶네,kitchen,ambiguous
16972,좀 쉬는 공간으로 이동하자 진짜 해야겠다,living room,direct
16973,혹시 오늘은 아무 생각 하기 싫다!,living room,indirect
16974,혹시 한숨 돌리고 싶다 진짜 해야겠다,living room,ambiguous
16975,지금 침대 있는 방으로 이동해 왠지 ㅠㅠ,bedroom,direct
16976,음 너무 졸리다 왠지 ㅠㅠ,bedroom,indirect
16977,지금 가만히 있고 싶다 약간 싶네,bedroom,ambiguous
16978,음 트레이닝 공간으로 가 왠지 해야겠다,exercise,direct
16979,활동적으로 움직이고 싶다!,exercise,indirect
16980,음 움직여야 할 것 같아 약간 좀,exercise,ambiguous
16981,음 냉장고 앞으로 가 약간 해야겠다,kitchen,direct
16982,음 냉장고 확인하고 싶다 조금 ㅠㅠ,kitchen,indirect
16983,아 오늘은 직접 해볼까 진짜.,kitchen,ambiguous
16984,좀 편하게 앉을 곳으로 가줘 왠지 좀,living room,direct
16985,지금 휴식이 필요해 같은데,living room,indirect
16986,아 조용히 있고 싶네 진짜 해야겠다,living room,ambiguous
16987,음 침대 있는 방으로 이동해 약간,bedroom,direct
16988,혹시 침대 생각난다 왠지!,bedroom,indirect
16989,오늘 오늘은 아무것도 하기 싫다.,bedroom,ambiguous
16990,좀 운동 장소로 이동하자 약간 ㅠㅠ,exercise,direct
16991,좀 운동 안 한 지 오래됐다 조금,exercise,indirect
16992,아 움직여야 할 것 같아 좀,exercise,ambiguous
16993,주방 쪽으로 안내해 같은데,kitchen,direct
16994,혹시 간단하게 요기하고 싶어.,kitchen,indirect
16995,지금 뭔가 하고 싶네 왠지 ㅠㅠ,kitchen,ambiguous
16996,오늘 거실로 가줘 약간!,living room,direct
16997,음 가만히 앉아 있고 싶다 진짜 ㅠㅠ,living room,indirect
16998,오늘 오늘 너무 피곤하다 약간 좀,living room,ambiguous
16999,아 침대 있는 방으로 이동해.,bedroom,direct
17000,지금 너무 졸리다 약간!,bedroom,indirect
17001,좀 오늘은 아무것도 하기 싫다 약간 ㅠㅠ,bedroom,ambiguous
17002,운동 공간으로 이동해 약간 해야겠다,exercise,direct
17003,지금 몸이 찌뿌둥하다 왠지 ㅠㅠ,exercise,indirect
17004,리프레시하고 싶네 같은데,exercise,ambiguous
17005,오늘 냉장고 있는 곳으로 가,kitchen,direct
17006,혹시 뭔가 만들어 먹고 싶네 조금 같은데,kitchen,indirect
17007,혹시 뭔가 찾고 싶네 해야겠다,kitchen,ambiguous
17008,소파 앞으로 가 왠지 해야겠다,living room,direct
17009,지금 소파에 눕고 싶다 약간!,living room,indirect
17010,혹시 한숨 돌리고 싶다.,living room,ambiguous
17011,혹시 침실로 데려다줘 왠지 좀,bedroom,direct
17012,오늘 침대 생각난다 조금.,bedroom,indirect
17013,음 조용한 분위기가 좋다 조금 해야겠다,bedroom,ambiguous
17014,아 운동 장소로 이동하자 진짜 싶네,exercise,direct
17015,좀 몸 좀 움직이고 싶다 왠지.,exercise,indirect
17016,갑자기 움직여야 할 것 같아 조금 해야겠다,exercise,ambiguous
17017,아 주방 쪽으로 안내해 좀,kitchen,direct
17018,음 냉장고 확인하고 싶다 해야겠다,kitchen,indirect
17019,음 기분 전환 좀 할까 왠지,kitchen,ambiguous
17020,TV 앞에 가고 싶어 왠지 싶네,living room,direct
17021,갑자기 가만히 앉아 있고 싶다 조금!,living room,indirect
17022,혹시 오늘 너무 피곤하다 진짜!,living room,ambiguous
17023,갑자기 조용한 방으로 가줘 조금 해야겠다,bedroom,direct
17024,음 잠 좀 자고 싶네 약간 싶네,bedroom,indirect
17025,좀 오늘은 아무것도 하기 싫다 조금 좀,bedroom,ambiguous
17026,아 운동방으로 안내해 약간.,exercise,direct
17027,아 활동적으로 움직이고 싶다 왠지 싶네,exercise,indirect
17028,아 리프레시하고 싶네.,exercise,ambiguous
17029,아 주방으로 가줘 왠지 ㅠㅠ,kitchen,direct
17030,뭐 먹을 거 없나 약간 해야겠다,kitchen,indirect
17031,음 조금 움직여볼까.,kitchen,ambiguous
17032,혹시 TV 있는 데로 이동해 싶네,living room,direct
17033,지금 편한 분위기가 좋다 약간.,living room,indirect
17034,아 오늘 너무 피곤하다 조금 ㅠㅠ,living room,ambiguous
17035,갑자기 방으로 가고 싶어 해야겠다,bedroom,direct
17036,좀 몸이 너무 피곤하다 왠지 해야겠다,bedroom,indirect
17037,오늘 생각 정리 좀 하고 싶네 진짜 ㅠㅠ,bedroom,ambiguous
17038,갑자기 트레이닝 공간으로 가 진짜!,exercise,direct
17039,갑자기 몸 좀 움직이고 싶다 진짜 좀,exercise,indirect
17040,혹시 리프레시하고 싶네,exercise,ambiguous
17041,오늘 냉장고 있는 곳으로 가 조금!,kitchen,direct
17042,오늘 간식 먹고 싶다 왠지 싶네,kitchen,indirect
17043,좀 손 가는 걸 해보고 싶다 좀,kitchen,ambiguous
17044,혹시 거실 쪽으로 가자 조금 싶네,living room,direct
17045,혹시 드라마 보고 싶다 진짜.,living room,indirect
17046,혹시 오늘 너무 피곤하다 약간 같은데,living room,ambiguous
17047,좀 침실로 가줘 약간!,bedroom,direct
17048,누워 있고 싶다.,bedroom,indirect
17049,갑자기 가만히 있고 싶다,bedroom,ambiguous
17050,지금 스트레칭할 공간으로 가고 싶어 조금 싶네,exercise,direct
17051,오늘 땀 좀 흘리고 싶다 좀,exercise,indirect
17052,좀 조금 활동하고 싶네 왠지 해야겠다,exercise,ambiguous
17053,혹시 냉장고 있는 곳으로 가 왠지 같은데,kitchen,direct
17054,오늘 물 마시고 싶다 왠지 같은데,kitchen,indirect
17055,지금 간단하게 해결할 게 없나 조금 해야겠다,kitchen,ambiguous
17056,혹시 소파 있는 곳으로 가 조금 싶네,living room,direct
17057,좀 소파에 눕고 싶다!,living room,indirect
17058,아 오늘은 늘어지고 싶다 왠지.,living room,ambiguous
17059,음 잠잘 곳으로 안내해 약간.,bedroom,direct
17060,지금 오늘은 일찍 자야겠다 약간 좀,bedroom,indirect
17061,오늘 방해받기 싫다 조금 ㅠㅠ,bedroom,ambiguous
17062,음 운동방으로 안내해 진짜 싶네,exercise,direct
17063,오늘 운동해야 하는데 조금,exercise,indirect
17064,좀 에너지가 부족한 느낌이야!,exercise,ambiguous
17065,지금 주방 쪽으로 안내해 왠지 같은데,kitchen,direct
17066,갑자기 뭐 먹을 거 없나 진짜.,kitchen,indirect
17067,갑자기 손 가는 걸 해보고 싶다 약간 좀,kitchen,ambiguous
17068,거실로 안내해 약간 같은데,living room,direct
17069,TV 보고 싶다 ㅠㅠ,living room,indirect
17070,좀 조용히 있고 싶네 왠지 좀,living room,ambiguous
17071,침실로 가줘 약간 ㅠㅠ,bedroom,direct
17072,지금 눈이 감긴다 약간,bedroom,indirect
17073,혹시 가만히 있고 싶다 왠지!,bedroom,ambiguous
17074,운동할 수 있는 곳으로 가 같은데,exercise,direct
17075,아 너무 오래 앉아 있었네 약간 같은데,exercise,indirect
17076,갑자기 리프레시하고 싶네,exercise,ambiguous
17077,아 냉장고 앞으로 가 진짜 같은데,kitchen,direct
17078,지금 뭔가 만들어 먹고 싶네 진짜,kitchen,indirect
17079,좀 간단하게 해결할 게 없나 약간 좀,kitchen,ambiguous
17080,아 TV 앞에 가고 싶어.,living room,direct
17081,좀 쉬고 싶네 약간 싶네,living room,indirect
17082,혹시 편한 데 가고 싶어 왠지.,living room,ambiguous
17083,갑자기 침대 있는 방으로 이동해 조금!,bedroom,direct
17084,음 눈이 감긴다 해야겠다,bedroom,indirect
17085,지금 좀 숨고 싶다 왠지 싶네,bedroom,ambiguous
17086,혹시 운동 공간으로 이동해 왠지!,exercise,direct
17087,혹시 운동 안 한 지 오래됐다,exercise,indirect
17088,좀 조금 활동하고 싶네 진짜 좀,exercise,ambiguous
17089,혹시 요리하는 공간으로 가줘 약간 해야겠다,kitchen,direct
17090,갑자기 배가 좀 고프네 왠지 같은데,kitchen,indirect
17091,손 가는 걸 해보고 싶다 왠지.,kitchen,ambiguous
17092,좀 소파 앞으로 가 조금!,living room,direct
17093,가만히 앉아 있고 싶다 약간 같은데,living room,indirect
17094,잠깐 머리 식히고 싶네 약간 같은데,living room,ambiguous
17095,지금 침실로 가줘 해야겠다,bedroom,direct
17096,갑자기 눈이 감긴다 약간.,bedroom,indirect
17097,지금 오늘은 아무것도 하기 싫다 진짜 좀,bedroom,ambiguous
17098,좀 스트레칭할 공간으로 가고 싶어 진짜 좀,exercise,direct
17099,좀 몸 좀 움직이고 싶다 조금 좀,exercise,indirect
17100,지금 몸이 무거운 느낌이다 조금.,exercise,ambiguous
17101,좀 냉장고 있는 곳으로 가.,kitchen,direct
17102,오늘 배가 좀 고프네 ㅠㅠ,kitchen,indirect
17103,아 간단하게 해결할 게 없나 진짜 싶네,kitchen,ambiguous
17104,갑자기 쉬는 공간으로 이동하자 조금 싶네,living room,direct
17105,지금 편하게 기대고 싶어 조금 좀,living room,indirect
17106,갑자기 기분 전환이 필요하다 ㅠㅠ,living room,ambiguous
17107,자는 곳으로 가 좀,bedroom,direct
17108,좀 쉬면서 자고 싶어 해야겠다,bedroom,indirect
17109,지금 오늘은 쉬어야겠다 왠지 ㅠㅠ,bedroom,ambiguous
17110,갑자기 운동 장소로 이동하자 왠지 싶네,exercise,direct
17111,지금 가볍게 뛰고 싶네 왠지 해야겠다,exercise,indirect
17112,갑자기 에너지가 부족한 느낌이야 조금 해야겠다,exercise,ambiguous
17113,좀 부엌에 가고 싶어 약간 좀,kitchen,direct
17114,음 배가 좀 고프네 진짜 해야겠다,kitchen,indirect
17115,갑자기 기분 전환 좀 할까 왠지 ㅠㅠ,kitchen,ambiguous
17116,지금 소파 앞으로 가 약간 좀,living room,direct
17117,지금 드라마 보고 싶다 조금.,living room,indirect
17118,갑자기 아무것도 안 하고 싶다 진짜 같은데,living room,ambiguous
17119,오늘 방으로 가고 싶어 왠지 싶네,bedroom,direct
17120,오늘 잠깐 낮잠 자고 싶다 왠지 해야겠다,bedroom,indirect
17121,가만히 있고 싶다 좀,bedroom,ambiguous
17122,지금 운동방으로 안내해 진짜 ㅠㅠ,exercise,direct
17123,좀 가볍게 뛰고 싶네 진짜 ㅠㅠ,exercise,indirect
17124,음 몸이 무거운 느낌이다 진짜.,exercise,ambiguous
